ticker,var99,violation_rate,kupiec_p,traffic_light
NVDA,0.07961758099910997,0.010313367711225704,0.8749878002799565,Green
AVGO,0.06292829369716703,0.010313367711225704,0.8749878002799565,Green
TSM,0.053847198682770075,0.010313367711225704,0.8749878002799565,Green
SNPS,0.053927541761844146,0.010313367711225704,0.8749878002799565,Green
MSFT,0.04451917332628374,0.010313367711225704,0.8749878002799565,Green
AMZN,0.056063650724013946,0.010313367711225704,0.8749878002799565,Green
META,0.06354784398937854,0.010313367711225704,0.8749878002799565,Green
GOOG,0.0503693126164436,0.010313367711225704,0.8749878002799565,Green
AAPL,0.0493348034598844,0.010313367711225704,0.8749878002799565,Green
CRM,0.05774251826953555,0.010313367711225704,0.8749878002799565,Green
NOW,0.07146214562715938,0.010313367711225704,0.8749878002799565,Green
PLTR,0.10599834312853854,0.010248901903367497,0.9266341530727704,Green
SAP,0.045674419405704575,0.010313367711225704,0.8749878002799565,Green
PANW,0.06877577117548243,0.010313367711225704,0.8749878002799565,Green
CRWD,0.1003151498973644,0.010029498525073746,0.9902661266298385,Green
DDOG,0.0880815784988059,0.010455104551045511,0.8547350280694456,Green
XYZ,0.09175795343160621,0.01048951048951049,0.9342155458967003,Green
ANET,0.07948056033729416,0.010313367711225704,0.8749878002799565,Green
MU,0.0813363735089558,0.010313367711225704,0.8749878002799565,Green
AMD,0.0926097341161932,0.010313367711225704,0.8749878002799565,Green
