ticker,xi,beta,evt_var_99,evt_cvar_99
NVDA,0.08745962353287567,0.021609475824627297,0.08365900767375181,0.11091793279864237
AVGO,0.3591347913209798,0.012607409219278795,0.06288741129893524,0.09794820314680386
TSM,0.13254195281139433,0.01225132726809236,0.0544917661303804,0.07197229921719732
SNPS,0.26790002424259546,0.013186852272174289,0.05924225499623745,0.08696132588347605
MSFT,0.21894556188521988,0.010231092646667389,0.04621649662563706,0.06484763399090893
AMZN,0.05574214226947141,0.015471626729197364,0.057138397086515066,0.07506086668004798
META,0.3187461465552629,0.014780067050395227,0.0651876536317352,0.10142083820701356
GOOG,0.04318121318504818,0.014499743285661384,0.051755792970403225,0.06800026316855856
AAPL,0.14928753091345073,0.012372982826102441,0.050671568420554605,0.06916482498593587
CRM,0.2553791133595041,0.012723511458348422,0.05979052100617577,0.08556145200502589
NOW,0.08248274156692319,0.016729148003338423,0.06906845486799751,0.0898892989243579
PLTR,0.20572483700172292,0.019983186480845964,0.10370177925768313,0.13880930946815756
SAP,0.3676060622278665,0.009843023665016578,0.04700851592868738,0.0751290200295609
PANW,0.3637324758623883,0.01499090482267405,0.06737404339340755,0.1096762972661685
CRWD,-0.07684757423512184,0.02951142358156872,0.09879725060847716,0.12300884955419927
DDOG,0.03613016703773268,0.023655982312572148,0.09650880850021382,0.1225290321737608
XYZ,0.3860614876940749,0.022790106779630417,0.107696179760916,0.17808110829320228
ANET,0.2229123784231577,0.02076737250691347,0.08074249425144797,0.11899696687507978
MU,0.16734527238352126,0.018801916028190292,0.08047867998519276,0.11003685715049123
AMD,0.13172152806815404,0.02261497559590676,0.09416245943973045,0.1263571155822621
